ID,Producer,Battery,Battery.1,SDate,VP,Sulf,S.Temp,A.Temp,Dens,Temp.Mean,Temp.Roll,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,CrudeType,Unknown,C5,Light_LSB,Light_SW,Medium_LSB,Medium_SW,Midale,Heavy_SW,Heavy_Sour,Crude_Breakdown,Crude_Num,VolumeM3,mth,Net Sulf,Net Dens,Net VP,SS_VP,SS_Dens,SS_Sulf,VP_95_Spec
221,SECUR ,08-28-005-33W1, SALES,3/20/2017,93.9,0.997,6.4,-1,830.6,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106074.85,3,87841453.1,88105770.41,9960428.415,141.5888879,167.2641578,0.107322764,0
222,CRESC,14-13-001-05W2,,3/21/2017,77.7,0.567,4,-11,823.6,-9.816666667,-2.021428571,-9.3,-8.2,-11.8,-6.8,-12.8,-10,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,20568.14,3,9604934.699,16939920.1,1598144.478,225.1917934,26.32642045,0.013202744,0
223,CRESC,05-14-003-01W2,,3/21/2017,88.2,0.904,13,-11,824.9,-9.816666667,-2.021428571,-9.3,-8.2,-11.8,-6.8,-12.8,-10,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,2628.26,3,1959918.713,2168051.674,231812.532,20.30756663,41.35683282,0.04932699,0
224,CRESC,01-21-001-14W2,,3/22/2017,82.4,0.183,11,2,802.8,-3.48,-2.044761905,-2.9,-2.6,0,-1.2,-6.2,-4.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,19019.34,3,2794176.886,15268726.15,1567193.616,100.2815538,50.31377478,0.016919395,0
225,CRESC,14-27-001-13W2,,3/22/2017,78.3,0.599,26,2,823,-3.48,-2.044761905,-2.9,-2.6,0,-1.2,-6.2,-4.5,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,21566.57,3,10631822.98,17749287.11,1688662.431,207.5441233,20.52930705,0.00687294,0
226,CRESC,07-07-006-15W2,,3/22/2017,78.1,2.903,2,2,870.9,-3.48,-2.044761905,-2.9,-2.6,0,-1.2,-6.2,-4.5,Crude,0,0,0,0,0,0,1,0,0,Midale,5,6292.73,3,15909422.83,5480338.557,491462.213,182.034064,41.422096,0.077180396,0
227,CRESC,04-05-007-33W1,,3/24/2017,83.6,1.234,22,4,841.2,-0.38,-1.936190476,-0.1,0.3,0,1.1,-2.7,-0.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,2666.25,3,2767676.283,2242849.5,222898.5,2.557162077,5.443190036,0.008208638,0
228,CRESC,02-16-010-02W2,,3/24/2017,91,1.8,3.4,4,851.8,-0.38,-1.936190476,-0.1,0.3,0,1.1,-2.7,-0.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,335.488,3,514383.6211,285768.6784,30529.408,80.98403305,68.34222229,0.226003703,0
229,CRESC,13-07-010-09W2,,3/26/2017,78.5,0.198,4.5,9,813.3,5.166666667,-0.712380952,7.2,5.8,3.3,5.3,2.6,6.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,2573.55,3,414427.5066,2093068.215,202023.675,193.6012826,11.60614766,0.013242158,0
230,CRESC,09-06-010-07W2,,3/26/2017,53.2,3.455,30.6,9,881.1,5.166666667,-0.712380952,7.2,5.8,3.3,5.3,2.6,6.8,Crude,0,0,0,0,0,0,1,0,0,Midale,5,2101.77,3,6398209.285,1851869.547,111814.164,130.142464,14.167696,0.688590611,0
231,CRESC,16-35-009-09W2,,3/26/2017,58.5,4.019,27,9,879.1,5.166666667,-0.712380952,7.2,5.8,3.3,5.3,2.6,6.8,Crude,0,0,0,0,0,0,1,0,0,Midale,5,598.462,3,2114427.828,526107.9442,35010.027,37.307664,3.111696,1.942716352,0
232,CRESC,13-29-008-07W2,,3/27/2017,89.6,0.165,28.2,-12,801.9,1.466666667,-0.129047619,0.7,3,1.3,3.3,-0.3,0.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,1638.67,3,216818.163,1314049.473,146824.832,7.918977564,63.89157139,0.02192608,0
233,CRESC,13-29-008-07W2,,3/27/2017,85.7,0.196,29.2,4,803.8,1.466666667,-0.129047619,0.7,3,1.3,3.3,-0.3,0.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,1638.67,3,258163.9374,1317162.946,140434.019,45.07870638,37.1273341,0.013706456,0
234,CRESC,09-14-009-08W2,,3/27/2017,94.5,0.227,25.8,-12,805.9,1.466666667,-0.129047619,0.7,3,1.3,3.3,-0.3,0.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,214.578,3,39254.74912,172928.4102,20277.621,4.351113157,15.94580868,0.007408833,0
235,CRESC,04-08-008-08W2,,3/27/2017,93.1,0.324,8.1,4,810.8,1.466666667,-0.129047619,0.7,3,1.3,3.3,-0.3,0.8,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,132627.41,3,34841114.51,107534304,12347611.87,0.470502988,0.822249354,0.000119365,0
236,CRESC,09-13-007-11W2,,3/27/2017,92.4,0.534,19.4,4,814.8,1.466666667,-0.129047619,0.7,3,1.3,3.3,-0.3,0.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,23623.54,3,10278677.85,19248460.39,2182815.096,0.093875906,13.46209055,0.021875355,0
